Transaction Date,ATM Name,No Of Withdrawals,Amount withdrawn Card,Amount withdrawn Other Card,Total amount Withdrawn
2014-01-01,Big Street ATM,50,168880,369450,538330
2014-01-02,Big Street ATM,17,84640,143550,228190
2014-01-03,Big Street ATM,24,312260,49500,361760
2014-01-04,Big Street ATM,34,217730,238140,455870
2014-01-05,Big Street ATM,30,235320,224740,460060
2014-01-06,Big Street ATM,29,231340,148840,380180
2014-01-07,Big Street ATM,23,215180,122380,337560
2014-01-08,Big Street ATM,37,230480,351540,582020
2014-01-09,Big Street ATM,36,159890,242860,402750
2014-01-10,Big Street ATM,29,245020,131850,376870
2014-01-11,Big Street ATM,42,301320,168750,470070
2014-01-12,Big Street ATM,19,49710,118180,167890
2014-01-13,Big Street ATM,22,217080,124200,341280
2014-01-14,Big Street ATM,25,274590,104850,379440
2014-01-15,Big Street ATM,24,399740,77400,477140
2014-01-16,Big Street ATM,17,119480,115200,234680
2014-01-17,Big Street ATM,37,460080,72900,532980
2014-01-18,Big Street ATM,29,297270,405900,703170
2014-01-19,Big Street ATM,33,162810,176850,339660
2014-01-20,Big Street ATM,25,156740,193500,350240
2014-01-21,Big Street ATM,21,334940,17550,352490
2014-01-22,Big Street ATM,25,204520,157050,361570
2014-01-23,Big Street ATM,18,28760,133650,162410
2014-01-24,Big Street ATM,26,361660,65700,427360
2014-01-25,Big Street ATM,39,249480,352350,601830
2014-01-26,Big Street ATM,18,91940,80100,172040
2014-01-27,Big Street ATM,26,284310,58950,343260
2014-01-28,Big Street ATM,22,198450,100350,298800
2014-01-29,Big Street ATM,53,190350,524250,714600
2014-01-30,Big Street ATM,18,104490,68850,173340
2014-01-31,Big Street ATM,23,101660,205650,307310
2014-02-01,Big Street ATM,36,491260,181800,673060
2014-02-02,Big Street ATM,19,285520,39150,324670
2014-02-03,Big Street ATM,40,493700,206550,700250
2014-02-04,Big Street ATM,28,351690,141750,493440
2014-02-05,Big Street ATM,23,409450,259470,668920
2014-02-06,Big Street ATM,32,250900,242860,493760
2014-02-07,Big Street ATM,28,164150,197030,361180
2014-02-08,Big Street ATM,42,381870,403990,785860
2014-02-09,Big Street ATM,32,182430,244280,426710
2014-02-10,Big Street ATM,31,161190,172350,333540
2014-02-11,Big Street ATM,31,328050,118800,446850
2014-02-12,Big Street ATM,45,244160,310280,554440
2014-02-13,Big Street ATM,28,219920,92700,312620
2014-02-14,Big Street ATM,33,340200,148500,488700
2014-02-15,Big Street ATM,34,313060,208800,521860
2014-02-16,Big Street ATM,14,22680,81450,104130
2014-02-17,Big Street ATM,26,269320,149400,418720
